,heating_temp_vip,lee_wind_min_vip,assim_vip,scr_enrg_vip,scr_blck_vip,CO2_vip
0,13.2,0.0,0.0,100.0,0.0,200.0
1,13.2,0.0,0.0,100.0,0.0,200.0
2,13.5,0.0,0.0,100.0,0.0,200.0
3,14.8,0.0,0.0,100.0,0.0,200.0
4,12.5,0.0,0.0,100.0,0.0,200.0
5,12.3,0.0,0.0,100.0,0.0,200.0
6,13.0,0.0,0.0,100.0,0.0,538.0
7,14.0,0.0,0.0,100.0,0.0,538.0
8,15.0,0.0,0.0,100.0,0.0,538.0
9,16.8,0.0,0.0,100.0,0.0,538.0
10,19.3,0.0,0.0,100.0,100.0,679.0
11,20.8,0.0,0.0,100.0,100.0,679.0
12,22.3,0.0,0.0,100.0,100.0,679.0
13,23.4,0.0,0.0,100.0,100.0,679.0
14,23.7,0.0,0.0,100.0,100.0,679.0
15,23.7,0.0,0.0,100.0,100.0,679.0
16,21.8,0.0,0.0,5.0,0.0,563.999995
17,19.8,0.0,0.0,5.0,100.0,577.999996
18,18.0,0.0,0.0,5.0,100.0,530.0
19,13.1,0.0,0.0,5.0,100.0,735.99998
20,14.3,0.0,0.0,5.0,100.0,200.0
21,14.3,0.0,0.0,5.0,100.0,200.0
22,14.3,0.0,0.0,5.0,100.0,200.0
23,14.3,0.0,0.0,5.0,100.0,200.0
24,14.3,0.0,0.0,5.0,100.0,200.0
25,14.3,0.0,0.0,5.0,100.0,200.0
26,14.3,0.0,0.0,5.0,100.0,200.0
27,14.3,0.0,0.0,5.0,100.0,200.0
28,14.3,0.0,0.0,5.0,100.0,200.0
29,14.3,0.0,0.0,5.0,100.0,200.0
30,14.3,0.0,0.0,5.0,100.0,200.0
31,14.3,0.0,0.0,5.0,100.0,200.0
32,14.3,0.0,0.0,5.0,100.0,200.0
33,14.3,0.0,0.0,5.0,100.0,200.0
34,14.3,0.0,0.0,5.0,100.0,200.0
35,14.3,0.0,0.0,5.0,100.0,200.0
36,14.3,0.0,0.0,5.0,100.0,200.0
37,14.3,0.0,0.0,5.0,100.0,200.0
38,14.3,0.0,0.0,5.0,100.0,200.0
39,24.0,0.0,0.0,5.0,0.0,628.0
40,15.000001,0.0,0.0,5.0,0.0,757.999978
41,20.2,5.0,0.0,0.0,0.0,773.999972
42,17.9,5.0,0.0,100.0,100.0,597.0
43,16.4,5.0,0.0,100.0,100.0,616.999996
44,13.5,5.0,0.0,100.0,100.0,200.000015
45,13.3,5.0,0.0,100.0,100.0,350.0
46,13.3,5.0,0.0,100.0,100.0,350.0
47,13.3,5.0,0.0,100.0,100.0,350.0
