,Tair,Rhair,CO2air,PARin
0,13.9,69.1,431.0,0.0
1,13.9,69.7,432.0,0.0
2,14.1,69.7,429.0,0.0
3,14.7,69.1,430.0,0.0
4,14.1,68.1,430.0,0.0
5,14.1,66.1,430.0,0.0
6,14.8,64.4,425.0,56.0
7,15.5,63.5,429.0,58.0
8,15.8,65.2,432.0,57.0
9,16.0,66.5,431.0,64.0
10,21.1,51.8,432.0,45.0
11,20.6,56.3,434.0,47.0
12,22.1,53.0,436.0,11.0
13,23.9,48.5,435.0,60.000001
14,23.3,51.7,439.0,71.0
15,23.5,52.3,440.0,62.0
16,24.5,50.7,453.0,116.000001
17,25.0,41.8,428.0,61.0
18,21.1,49.0,419.0,59.0
19,18.8,56.2,416.0,61.0
20,16.9,63.2,413.0,0.0
21,16.3,65.4,413.0,0.0
22,15.7,68.9,415.0,0.0
23,15.7,71.3,415.0,0.0
24,15.4,72.5,417.0,0.0
25,15.4,73.4,419.0,0.0
26,15.2,74.3,419.0,0.0
27,15.3,75.2,421.0,0.0
28,15.6,75.7,421.0,0.0
29,15.7,75.3,424.0,0.0
30,15.7,75.0,424.0,0.0
31,15.6,74.6,421.0,0.0
32,15.6,75.3,421.0,0.0
33,16.0,72.5,566.0,8.0
34,16.6,70.9,538.000001,20.0
35,17.6,66.6,500.0,23.999998
36,18.2,63.5,476.0,0.0
37,18.7,61.9,461.0,0.0
38,19.7,58.5,449.0,6e-06
39,25.8,44.0,434.0,192.0
40,21.8,49.0,423.0,92.000004
41,21.6,49.0,418.0,83.999999
42,24.4,47.5,419.0,355.0
43,23.6,51.2,421.0,201.000006
44,19.5,68.9,430.0,0.0
45,17.7,79.7,431.0,0.0
46,17.1,82.2,429.0,0.0
47,16.6,83.2,431.0,0.0
48,16.4,83.2,436.0,0.0
49,16.5,81.8,433.0,0.0
50,16.3,82.5,427.0,0.0
51,16.1,81.9,426.0,0.0
52,16.3,80.9,429.0,0.0
53,16.1,81.3,425.0,0.0
54,16.5,80.2,429.0,0.0
55,16.7,80.1,434.0,0.0
56,17.2,78.0,434.0,0.0
57,14.7,82.2,430.0,13.0
58,13.5,82.8,432.0,27.0
59,13.1,83.2,435.0,110.000004
60,13.5,81.4,573.0,130.0
61,14.1,81.5,670.0,80.999998
62,16.3,71.9,724.0,350.999997
63,21.4,68.8,716.0,278.0
64,21.0,69.9,684.0,309.999997
65,18.8,69.3,710.000001,254.0
