,Tair,Rhair,CO2air,PARin
0,10.0,82.5,524.0,0.0
1,9.8,82.9,518.000001,0.0
2,9.9,83.3,528.0,0.0
3,10.1,83.8,522.0,0.0
4,10.2,84.4,522.000001,0.0
5,10.3,84.9,528.0,0.0
6,10.5,85.3,526.0,0.0
7,10.6,85.7,520.0,0.0
8,10.8,86.0,526.0,0.0
9,10.8,85.4,525.0,0.0
10,11.7,82.2,528.999999,7.0
11,12.4,78.9,518.000001,10.0
12,13.2,77.6,517.0,12.0
13,14.4,76.1,528.0,23.0
14,15.8,74.3,514.000001,37.999999
15,16.8,72.4,509.0,24.0
16,16.7,72.5,514.000001,14.000001
17,15.6,73.9,528.999999,7.0
18,14.3,76.9,515.0,0.0
19,20.7,52.0,481.0,0.0
20,19.3,58.0,482.000001,0.0
21,17.6,64.8,492.0,29.0
22,17.7,64.6,487.0,0.0
23,17.9,64.1,486.0,0.0
24,18.0,63.4,481.0,0.0
25,17.9,63.9,490.0,0.0
26,17.8,63.5,486.000001,0.0
27,17.7,63.3,490.0,0.0
28,17.7,62.9,485.000001,0.0
29,18.0,63.2,486.0,0.0
30,18.1,63.2,488.0,0.0
31,17.9,64.3,493.0,0.0
32,18.0,63.7,489.0,0.0
33,17.8,64.8,620.0,45.0
34,17.6,66.9,601.000001,19.0
35,18.6,66.5,607.0,0.0
36,18.7,73.4,584.0,24.0
37,19.6,73.5,564.0,97.000002
38,21.6,66.2,533.000001,51.000002
39,20.4,76.1,511.0,98.0
40,19.3,71.6,523.000001,19.000002
41,18.6,72.0,523.0,13.0
42,18.1,73.6,529.0,0.0
43,17.7,74.4,528.999999,0.0
44,17.8,73.5,520.0,0.0
45,17.9,73.7,527.0,0.0
46,18.0,72.5,528.0,0.0
47,18.1,71.8,532.999999,0.0
48,18.0,73.0,522.0,0.0
49,18.1,73.2,518.0,0.0
50,18.0,73.4,519.0,0.0
51,17.8,73.6,519.0,0.0
52,18.1,72.4,511.0,0.0
53,18.0,72.9,511.0,0.0
54,17.9,72.5,514.0,0.0
55,18.0,72.0,507.000001,0.0
56,17.8,72.6,506.000001,0.0
57,17.0,75.3,512.0,0.0
58,16.0,78.4,517.0,0.0
59,15.5,80.0,514.000001,0.0
60,15.9,77.4,1133.0,0.0
61,16.1,75.6,1017.000002,0.0
62,16.7,73.2,1088.0,0.0
63,19.7,62.6,962.0,192.0
64,20.4,60.9,882.000001,219.999997
65,19.9,74.9,796.000002,259.0
66,20.4,75.0,777.0,248.0
67,20.2,73.5,728.999999,268.999998
68,20.4,75.0,756.999997,295.999999
69,20.1,77.5,730.0,296.0
70,20.2,76.0,735.999997,296.0
71,20.3,72.5,770.0,295.0
72,20.3,73.9,813.0,296.0
73,20.2,73.3,718.000004,295.0
74,20.0,74.4,758.999998,296.0
75,20.1,72.9,746.0,285.0
76,20.2,73.4,769.0,284.000001
77,20.2,72.9,716.000002,296.0
78,20.0,74.6,760.0,296.0
79,20.1,73.5,719.000002,295.999999
80,20.0,73.7,710.999999,297.0
81,19.9,76.1,808.0,294.0
82,20.6,75.3,752.0,295.0
83,21.5,77.0,761.000002,284.000001
84,20.3,76.7,890.0,33.0
85,19.5,73.4,943.000002,144.999999
86,19.2,75.3,896.000002,227.999999
87,19.0,72.2,917.0,198.0
88,18.4,73.7,910.000002,163.0
89,19.4,71.3,907.999999,225.0
90,18.4,73.6,899.0,264.0
91,18.7,74.9,904.0,296.999999
92,19.2,73.9,971.0,296.0
93,19.4,73.0,949.0,297.0
94,19.4,72.5,964.999997,297.0
95,18.8,74.4,906.999998,296.0
96,18.0,75.4,926.0,0.0
97,17.7,70.9,932.000001,0.0
98,17.8,70.9,940.999999,0.0
99,17.7,73.7,943.0,0.0
100,18.2,71.1,908.0,0.0
101,18.1,72.9,912.0,0.0
102,17.7,74.6,920.0,0.0
