,heating_temp_vip,lee_wind_min_vip,assim_vip,scr_enrg_vip,scr_blck_vip,CO2_vip
0,17.2,0.0,15.0,0.0,0.0,701.0
1,17.7,0.0,15.0,0.0,0.0,731.0
2,17.8,0.0,15.0,0.0,0.0,736.0
3,17.9,0.0,15.0,0.0,0.0,739.0
4,18.0,0.0,15.0,0.0,0.0,738.0
5,18.1,0.0,15.0,0.0,0.0,740.0
6,18.2,0.0,15.0,0.0,0.0,742.0
7,18.3,0.0,15.0,0.0,0.0,747.0
8,18.3,0.0,15.0,0.0,0.0,748.999994
9,18.4,0.0,15.0,0.0,0.0,732.0
10,18.5,0.0,10.0,0.0,0.0,752.0
11,18.6,0.0,10.0,0.0,0.0,752.0
12,18.6,0.0,10.0,0.0,0.0,751.0
13,18.7,0.0,10.0,0.0,0.0,756.0
14,19.0,0.0,10.0,0.0,0.0,766.0
15,19.0,0.0,10.0,0.0,0.0,767.0
16,18.8,0.0,15.0,0.0,0.0,761.0
17,19.599999,0.0,15.0,0.0,0.0,788.999961
18,11.5,0.0,15.0,0.0,0.0,400.0
19,11.9,0.0,15.0,0.0,100.0,400.0
20,12.6,0.0,15.0,0.0,100.0,400.0
21,13.3,0.0,15.0,0.0,100.0,400.0
22,13.8,0.0,15.0,0.0,100.0,400.0
23,13.8,0.0,15.0,0.0,100.0,400.000014
24,17.8,0.0,15.0,0.0,100.0,736.0
25,19.4,0.0,15.0,0.0,100.0,800.0
26,19.9,0.0,15.0,0.0,99.999999,805.0
27,20.2,0.0,15.0,0.0,77.0,819.0
28,20.4,0.0,15.0,0.0,75.0,812.0
29,20.4,0.0,15.0,0.0,75.0,823.0
30,20.4,0.0,15.0,0.0,75.0,824.0
31,20.4,0.0,15.0,0.0,75.0,825.0
32,20.4,0.0,15.0,0.0,75.0,823.0
33,21.3,0.0,15.0,0.0,0.0,843.0
34,21.7,0.0,10.0,0.0,0.0,849.0
35,22.1,0.0,10.0,0.0,0.0,852.0
36,22.2,0.0,10.0,0.0,0.0,806.0
37,22.5,0.0,10.0,0.0,0.0,852.999999
38,22.6,0.0,10.0,0.0,0.0,863.0
39,22.5,0.0,50.0,0.0,0.0,845.0
40,21.8,0.0,50.0,0.0,0.0,849.0
41,20.9,0.0,65.0,0.0,0.0,819.000001
42,11.3,0.0,50.0,0.0,100.0,400.0
43,11.3,0.0,5.0,0.0,100.0,400.0
44,12.7,0.0,0.0,0.0,100.0,400.0
45,13.6,0.0,0.0,0.0,100.0,400.0
46,14.1,0.0,0.0,0.0,100.0,400.0
47,14.3,0.0,0.0,0.0,100.0,400.000014
48,17.7,0.0,45.0,0.0,100.0,736.0
49,19.3,0.0,89.999998,0.0,100.0,798.999999
50,19.9,0.0,100.0,0.0,99.999999,814.0
51,20.4,0.0,100.0,0.0,75.0,798.0
52,20.4,0.0,100.0,0.0,75.0,808.0
53,20.7,0.0,100.0,0.0,75.0,761.999998
54,20.1,0.0,100.0,0.0,89.0,950.0
55,20.0,0.0,100.0,4.0,95.0,997.0
56,20.0,0.0,100.0,11.0,100.0,1009.0
57,20.0,0.0,100.0,0.0,0.0,1012.0
58,20.0,0.0,100.0,0.0,0.0,1012.0
59,20.1,0.0,100.0,0.0,0.0,1017.0
60,20.7,0.0,100.0,0.0,0.0,1031.0
61,21.2,0.0,100.0,0.0,0.0,1040.0
62,21.3,0.0,100.0,0.0,0.0,1042.0
63,20.3,0.0,100.0,0.0,0.0,1023.0
64,20.3,0.0,100.0,0.0,0.0,1021.000001
65,20.0,0.0,100.0,0.0,0.0,1016.0
66,15.3,0.0,0.0,0.0,100.0,400.0
67,17.0,0.0,0.0,0.0,100.0,400.0
68,17.8,0.0,0.0,0.0,100.0,400.0
69,17.8,0.0,0.0,0.0,100.0,400.0
70,17.5,0.0,0.0,0.0,100.0,400.0
71,17.8,0.0,0.0,0.0,100.0,400.0
72,18.8,0.0,100.0,39.8,100.0,842.0
73,19.8,0.0,100.0,98.6,100.0,991.0
74,19.9,0.0,100.0,94.0,100.0,1011.0
75,19.9,0.0,100.0,98.0,100.0,1012.0
76,19.9,0.0,100.0,100.0,100.0,1011.0
77,19.9,0.0,100.0,100.0,100.0,1012.0
78,19.9,0.0,100.0,100.0,100.0,1012.0
79,19.9,0.0,100.0,100.0,100.0,1012.0
80,19.9,0.0,100.0,100.0,100.0,1012.0
81,19.9,0.0,100.0,0.0,0.0,1012.0
82,20.0,0.0,100.0,0.0,0.0,1014.0
83,21.3,0.0,100.0,0.0,0.0,1041.0
84,21.7,0.0,100.0,0.0,0.0,1045.0
85,20.8,0.0,100.0,0.0,0.0,1032.0
86,20.1,0.0,100.0,0.0,0.0,1018.0
87,20.2,0.0,100.0,0.0,0.0,1018.0
88,20.5,0.0,100.0,0.0,0.0,1026.0
89,20.0,0.0,100.0,0.0,0.0,1014.0
90,14.3,0.0,0.0,0.0,100.0,400.0
91,15.5,0.0,0.0,0.0,100.0,400.0
