,Tair,Rhair,CO2air,PARin
0,17.5,60.2,460.0,0.0
1,17.9,60.2,455.0,0.0
2,17.5,64.2,453.0,0.0
3,17.7,65.4,453.0,0.0
4,18.1,64.8,453.0,0.0
5,17.8,66.6,449.0,0.0
6,18.7,63.5,448.0,0.0
7,18.0,65.6,446.0,0.0
8,18.6,63.8,447.0,0.0
9,18.6,61.9,449.0,6.0
10,19.7,59.3,446.000001,22.0
11,18.8,62.8,443.0,32.999999
12,18.3,68.7,442.0,48.0
13,18.6,70.4,443.0,78.000002
14,19.0,71.2,442.0,129.999998
15,18.7,73.3,437.0,90.0
16,19.1,71.5,438.0,50.000001
17,19.9,67.8,447.0,14.999999
18,17.1,72.9,436.0,0.0
19,17.4,75.1,438.0,0.0
20,16.3,81.3,438.0,0.0
21,15.5,86.0,438.0,0.0
22,14.8,88.6,435.0,0.0
23,14.2,89.6,432.0,0.0
24,17.6,75.7,432.0,0.0
25,19.5,69.6,431.0,0.0
26,19.3,69.6,431.0,45.0
27,20.1,62.3,432.0,44.0
28,20.4,62.2,432.0,44.0
29,20.1,64.5,434.0,44.0
30,20.4,64.7,436.0,44.0
31,20.3,65.1,434.0,44.0
32,20.3,63.8,437.0,45.0
33,21.2,62.7,449.0,64.0
34,21.9,65.2,550.0,103.999999
35,22.4,66.8,547.0,138.999999
36,22.8,68.4,541.0,171.0
37,22.7,70.3,526.0,144.000002
38,24.7,66.9,523.0,97.000003
39,23.3,71.3,514.0,247.0
40,22.4,72.3,503.0,160.000003
41,21.6,70.7,489.0,189.0
42,21.1,62.6,432.0,141.0
43,19.3,71.5,429.0,0.0
44,17.5,82.4,434.0,0.0
45,16.5,87.8,437.0,0.0
46,15.7,90.6,437.0,0.0
47,15.1,92.3,440.0,0.0
48,18.0,80.1,435.0,130.0
49,19.3,75.9,432.0,243.999996
50,20.1,74.7,427.0,264.0
51,21.2,68.4,422.0,258.0
52,20.7,70.3,418.0,259.0
53,20.6,70.2,417.0,259.0
54,21.2,68.3,417.0,261.0
55,21.0,69.2,414.0,262.0
56,21.1,70.8,412.0,264.0
57,19.4,74.1,415.0,260.0
58,18.2,72.8,416.0,271.0
59,18.0,72.0,416.0,333.000003
60,18.5,70.3,710.0,347.0
61,19.3,70.9,984.999998,308.999998
62,18.3,85.199999,1027.000002,329.999998
63,20.8,84.9,1017.0,276.0
64,21.9,74.7,1041.999998,297.999998
65,20.8,78.3,996.000001,257.0
66,20.2,69.3,622.0,0.0
67,17.5,81.1,553.0,0.0
68,17.4,82.7,543.0,0.0
69,17.5,81.9,539.0,0.0
70,17.8,80.5,539.0,0.0
71,17.8,80.9,534.0,0.0
72,19.5,80.9,749.0,265.0
73,21.0,85.2,1005.999997,263.0
74,21.5,78.0,988.000002,262.0
75,20.4,89.9,1021.0,263.0
76,21.4,78.8,1088.999995,263.0
77,21.2,80.1,991.000009,263.0
78,20.4,88.9,1056.0,263.0
79,20.2,89.2,999.999997,263.0
80,20.6,85.0,1005.999999,264.0
81,20.2,79.8,1006.0,260.0
82,20.0,85.8,1012.0,298.0
83,21.3,80.6,1006.000002,346.000001
84,21.5,83.7,1042.0,287.0
85,20.8,78.2,995.000001,302.999999
86,19.9,81.5,1001.999999,265.999999
87,19.4,85.1,1012.0,283.0
88,20.7,77.2,1013.000001,268.0
89,20.7,77.6,1017.999999,257.0
90,20.0,60.8,641.0,0.0
91,17.2,73.9,544.000001,0.0
92,16.9,79.2,535.0,0.0
93,17.0,79.2,531.0,0.0
94,17.1,78.7,526.0,0.0
95,17.1,77.7,520.0,0.0
96,16.7,83.6,562.0,145.0
97,21.2,83.7,897.999997,262.0
98,21.0,80.1,1016.999999,264.0
99,21.9,73.2,1030.0,263.0
100,20.3,83.8,1009.999999,264.0
101,20.6,83.8,978.0,263.0
102,20.2,87.6,1006.0,263.0
103,19.6,86.6,995.000001,263.0
104,20.9,79.5,1025.000001,264.0
105,19.5,85.5,996.0,268.0
106,21.5,84.6,1020.000001,293.0
107,21.9,83.599999,1002.000003,357.999998
108,24.0,77.0,1015.0,343.0
109,23.9,84.599999,1015.000011,396.999994
110,24.9,78.100001,1058.999995,392.0
111,24.8,78.0,1037.0,359.0
112,22.6,79.9,1031.000001,309.000001
113,21.3,81.1,1010.000001,258.0
114,20.2,65.5,590.0,0.0
115,17.8,75.8,500.0,0.0
116,16.7,83.5,482.0,0.0
117,17.6,80.4,478.0,0.0
118,17.7,80.9,476.0,0.0
119,17.6,81.2,475.0,0.0
120,19.3,84.1,715.0,265.0
121,21.5,84.0,1014.999994,262.0
122,21.5,84.5,1024.999999,262.0
123,21.6,80.7,1022.0,263.0
124,21.2,84.4,978.000003,263.0
125,20.7,85.8,1009.999997,263.0
126,21.3,83.7,984.0,262.0
127,20.8,85.7,1015.999997,262.0
128,20.7,89.9,979.000005,262.0
129,20.4,76.7,1000.0,252.0
130,20.8,81.8,999.0,260.0
131,22.0,76.1,1007.000001,271.999999
132,21.0,71.9,998.0,285.0
133,21.0,75.8,1000.000001,322.000001
134,21.5,81.1,1035.999999,333.0
135,21.2,83.6,1026.0,287.0
136,21.5,83.8,1014.999999,324.999997
137,20.0,76.700001,1000.0,250.0
138,20.8,66.7,920.0,141.0
139,18.0,78.1,801.000002,0.0
140,17.3,82.3,727.0,0.0
141,17.4,80.4,692.0,0.0
142,17.2,80.1,656.000001,0.0
143,17.0,80.4,621.999999,0.0
144,19.7,80.3,873.0,264.0
145,20.4,86.999999,1005.000002,262.0
146,20.8,81.4,1030.999999,262.0
147,20.3,84.1,1015.0,263.0
148,20.3,85.2,1025.000001,264.0
149,20.1,86.2,987.00001,263.0
150,20.1,85.0,1017.0,263.0
151,20.1,82.8,995.000001,263.0
152,21.1,83.9,1002.000002,262.0
153,20.5,76.3,1025.0,277.0
154,21.0,81.3,1001.000001,304.0
155,21.2,84.0,993.0,349.999997
156,22.0,84.6,1031.0,365.0
157,25.7,67.6,1045.000002,360.999994
158,25.1,74.8,1030.999998,382.0
159,24.9,83.4,1051.0,290.0
160,23.2,83.999999,993.000001,297.0
161,20.7,83.6,998.000003,265.0
162,17.1,59.3,446.0,141.0
163,16.6,73.2,446.0,0.0
164,15.2,79.5,445.0,0.0
165,14.5,82.8,442.0,0.0
166,14.3,84.7,442.0,0.0
167,14.3,87.9,446.0,0.0
168,18.2,76.9,631.0,265.0
169,20.5,86.6,975.999997,262.0
170,21.6,80.500001,987.000003,262.0
171,21.3,86.8,1026.0,261.0
172,21.2,84.1,989.000002,262.0
173,21.0,83.6,1017.999997,262.0
174,21.1,85.1,1009.0,262.0
175,20.7,89.9,979.000003,262.0
176,21.5,83.0,976.000008,261.0
177,20.7,79.0,996.0,275.0
178,23.0,72.4,1014.999999,297.0
179,23.4,80.9,1000.999999,314.999997
180,23.4,82.2,1022.0,346.0
181,22.5,88.299999,994.000001,317.000001
182,24.2,80.2,1026.999999,240.0
183,22.9,87.2,1018.0,268.0
184,22.7,88.0,1006.000001,297.0
185,21.3,86.500001,1027.999999,262.0
186,18.0,67.7,421.0,141.0
187,17.3,77.9,435.0,0.0
188,16.3,83.6,440.0,0.0
189,15.5,86.0,444.0,0.0
190,15.0,87.8,437.0,0.0
191,14.6,88.6,435.0,0.0
192,18.4,79.1,716.0,263.0
193,19.8,89.2,991.999998,262.0
194,20.7,86.8,996.000001,261.0
195,21.0,85.1,1037.0,261.0
196,21.2,84.1,989.000001,261.0
197,21.1,85.2,1106.999988,261.0
198,21.2,83.6,1096.0,261.0
199,21.1,84.8,988.00001,261.0
200,21.1,84.9,956.000009,260.0
201,19.8,84.6,1007.0,258.0
202,21.4,78.2,1014.999999,313.999999
203,22.6,76.4,1018.000002,351.0
204,23.6,83.2,987.0,297.0
205,23.1,83.3,1002.000002,303.999998
206,21.7,87.5,1027.000001,265.0
207,22.7,76.8,1021.0,301.0
208,21.4,81.2,1022.999998,277.999999
209,20.1,86.9,1003.999999,258.0
210,19.9,73.9,745.0,139.0
211,18.1,82.9,624.0,0.0
212,16.7,88.3,551.0,0.0
213,15.7,90.6,507.0,0.0
214,15.3,91.2,482.0,0.0
215,14.9,92.4,469.0,0.0
216,17.9,84.2,684.0,262.0
217,20.8,82.9,969.000003,261.0
218,21.5,82.2,1049.999993,260.0
219,20.9,85.2,1001.0,261.0
220,21.2,86.0,1012.999997,261.0
221,21.3,84.2,1101.999993,260.0
222,20.8,86.0,1015.0,261.0
223,20.6,84.9,1000.999999,260.0
224,20.9,83.2,965.000001,261.0
225,19.3,87.8,1028.0,270.0
