,heating_temp_vip,lee_wind_min_vip,assim_vip,scr_enrg_vip,scr_blck_vip,CO2_vip
0,19.0,0,0.0,100.0,100.0,0.0
1,19.0,0,0.0,100.0,100.0,0.0
2,19.0,0,0.0,100.0,100.0,0.0
3,19.0,0,0.0,100.0,100.0,0.0
4,19.0,0,0.0,100.0,100.0,0.0
5,19.0,0,0.0,100.0,100.0,0.0
6,19.0,0,0.0,100.0,100.0,0.0
7,19.0,0,0.0,100.0,100.0,0.0
8,19.0,0,0.0,100.0,0.0,0.000151
9,24.0,0,0.0,100.0,0.0,1500.0
10,24.0,0,0.0,100.0,0.0,1500.0
11,24.0,0,0.0,100.0,0.0,1500.0
12,24.0,0,0.0,100.0,0.0,1500.0
13,24.0,0,0.0,100.0,0.0,1500.0
14,24.0,0,0.0,100.0,0.0,1500.0
15,24.0,0,0.0,100.0,0.0,1500.0
16,24.0,0,0.0,100.0,0.0,1500.0
17,19.0,0,0.0,100.0,0.0,1500.0
18,19.0,0,0.0,100.0,0.0,573.0
19,19.0,0,0.0,100.0,100.0,0.0
20,19.0,0,0.0,100.0,100.0,0.0
21,19.0,0,0.0,100.0,100.0,0.0
22,19.0,0,0.0,100.0,100.0,0.0
23,19.0,0,0.0,100.0,100.0,0.0
24,19.0,0,0.0,100.0,100.0,0.0
25,19.0,0,0.0,100.0,100.0,0.0
26,19.0,0,0.0,100.0,100.0,0.0
27,19.0,0,0.0,100.0,100.0,0.0
28,19.0,0,0.0,100.0,100.0,0.0
29,19.0,0,0.0,100.0,100.0,0.0
30,19.0,0,0.0,100.0,100.0,0.0
31,19.0,0,0.0,100.0,100.0,0.0
32,19.0,0,0.0,100.0,0.0,0.000129
33,24.0,0,0.0,100.0,0.0,1500.0
34,24.0,0,0.0,100.0,0.0,912.000059
35,24.0,0,0.0,100.0,0.0,1500.0
36,24.0,0,0.0,100.0,0.0,1500.0
37,24.0,0,0.0,100.0,0.0,1500.0
38,24.0,0,0.0,100.0,0.0,1222.0
39,24.0,0,0.0,100.0,0.0,906.0
40,24.0,0,0.0,100.0,0.0,1247.000025
41,24.0,0,0.0,100.0,0.0,1217.0
42,19.0,0,0.0,100.0,0.0,1500.0
43,19.0,0,0.0,100.0,100.0,0.0
44,19.0,0,0.0,100.0,100.0,0.0
45,19.0,0,0.0,100.0,100.0,0.0
46,19.0,0,0.0,100.0,100.0,0.0
47,19.0,0,0.0,100.0,100.0,0.0
48,19.0,0,0.0,100.0,100.0,0.0
49,19.0,0,0.0,100.0,100.0,0.0
50,19.0,0,0.0,100.0,100.0,0.0
51,19.0,0,0.0,100.0,100.0,0.0
52,19.0,0,0.0,100.0,100.0,0.0
53,19.0,0,0.0,100.0,100.0,0.0
54,19.0,0,0.0,100.0,100.0,0.0
55,19.0,0,0.0,100.0,100.0,0.0
56,19.0,0,0.0,100.0,100.0,0.0
57,24.0,0,0.0,100.0,0.0,1500.0
58,24.0,0,0.0,100.0,0.0,1500.0
59,24.0,0,0.0,100.0,0.0,1500.0
60,24.0,0,0.0,100.0,0.0,1500.0
61,24.0,0,0.0,100.0,0.0,1500.0
62,24.0,0,100.0,100.0,0.0,1500.0
63,24.0,0,100.0,100.0,0.0,1500.0
64,24.0,0,100.0,100.0,0.0,389.0
65,24.0,0,100.0,100.0,0.0,389.000035
66,19.0,0,100.0,100.0,0.0,1068.0
67,19.0,0,0.0,100.0,100.0,0.0
68,19.0,0,0.0,100.0,100.0,0.0
69,19.0,0,0.0,100.0,100.0,0.0
70,19.0,0,0.0,100.0,100.0,0.0
71,19.0,0,0.0,100.0,100.0,0.0
72,19.0,0,0.0,100.0,100.0,0.0
73,19.0,0,0.0,100.0,100.0,0.0
74,19.0,0,0.0,100.0,100.0,0.0
75,19.0,0,0.0,100.0,100.0,0.0
76,19.0,0,0.0,100.0,100.0,0.0
77,19.0,0,0.0,100.0,100.0,0.0
78,19.0,0,0.0,100.0,100.0,0.0
79,19.0,0,0.0,100.0,100.0,0.0
80,19.0,0,1e-05,100.0,99.99999,0.000151
81,19.0,0,100.0,100.0,0.0,1118.0
82,19.0,0,100.0,100.0,0.0,1239.0
83,19.0,0,100.0,0.0,0.0,854.000023
84,19.0,0,100.0,0.0,0.0,1415.0
85,19.0,0,100.0,100.0,0.0,1414.999985
86,19.0,0,100.0,100.0,0.0,1219.999988
87,19.0,0,100.0,100.0,0.0,1044.0
88,19.0,0,100.0,100.0,0.0,1000.0
89,24.0,0,100.0,100.0,0.0,1079.000042
90,19.0,0,100.0,100.0,0.0,967.0
91,19.0,0,0.0,100.0,100.0,0.0
92,19.0,0,0.0,100.0,100.0,0.0
93,19.0,0,0.0,100.0,100.0,0.0
94,19.0,0,0.0,100.0,100.0,0.0
95,19.0,0,0.0,100.0,100.0,0.0
96,19.0,0,0.0,100.0,100.0,0.0
97,19.0,0,0.0,100.0,100.0,0.0
98,19.0,0,0.0,100.0,100.0,0.0
99,19.0,0,0.0,100.0,100.0,0.0
100,19.0,0,0.0,100.0,100.0,0.0
101,19.0,0,0.0,100.0,100.0,0.0
102,19.0,0,0.0,100.0,100.0,0.0
103,19.0,0,0.0,100.0,100.0,0.0
104,19.0,0,1e-05,100.0,99.99999,0.000151
105,19.0,0,100.0,100.0,0.0,1129.0
106,19.0,0,100.0,100.0,0.0,1250.0
107,19.0,0,100.0,0.0,0.0,450.000078
108,19.0,0,100.0,0.0,0.0,1041.0
109,19.0,0,100.0,0.0,0.0,1008.000018
110,19.0,0,100.0,0.0,0.0,1126.000006
111,19.0,0,100.0,0.0,0.0,1181.0
112,19.0,0,100.0,0.0,0.0,1214.0
113,24.0,0,100.0,100.0,0.0,1250.000025
114,19.0,0,100.0,100.0,0.0,136.0
115,19.0,0,0.0,100.0,100.0,0.0
116,19.0,0,0.0,100.0,100.0,0.0
117,19.0,0,0.0,100.0,100.0,0.0
118,19.0,0,0.0,100.0,100.0,0.0
119,19.0,0,0.0,100.0,100.0,0.0
120,19.0,0,0.0,100.0,100.0,0.0
121,19.0,0,0.0,100.0,100.0,0.0
122,19.0,0,0.0,100.0,100.0,0.0
123,19.0,0,0.0,100.0,100.0,0.0
124,19.0,0,0.0,100.0,100.0,0.0
125,19.0,0,0.0,100.0,100.0,0.0
126,19.0,0,0.0,100.0,100.0,0.0
127,19.0,0,0.0,100.0,100.0,0.0
128,19.0,0,1e-05,100.0,99.99999,0.000149
129,24.0,0,100.0,100.0,0.0,1500.0
130,24.0,0,100.0,100.0,0.0,1099.0
131,24.0,0,100.0,100.0,0.0,1101.0
132,24.0,0,100.0,100.0,0.0,1099.0
133,24.0,0,100.0,100.0,0.0,1123.0
134,24.0,0,100.0,0.0,0.0,1084.99999
135,24.0,0,100.0,0.0,0.0,1500.0
136,24.0,0,100.0,0.0,0.0,887.0
137,19.0,0,100.0,100.0,0.0,1099.000012
138,19.0,0,100.0,100.0,0.0,1099.0
139,19.0,0,0.0,100.0,100.0,0.0
140,19.0,0,0.0,100.0,100.0,0.0
141,19.0,0,0.0,100.0,100.0,0.0
142,19.0,0,0.0,100.0,100.0,0.0
143,19.0,0,0.0,100.0,100.0,0.0
144,19.0,0,0.0,100.0,100.0,0.0
145,19.0,0,0.0,100.0,100.0,0.0
146,19.0,0,0.0,100.0,100.0,0.0
147,19.0,0,0.0,100.0,100.0,0.0
148,19.0,0,0.0,100.0,100.0,0.0
149,19.0,0,0.0,100.0,100.0,0.0
150,19.0,0,0.0,100.0,100.0,0.0
151,19.0,0,0.0,100.0,100.0,0.0
152,19.0,0,1e-05,100.0,99.99999,0.000151
153,24.0,0,100.0,100.0,0.0,1500.0
154,24.0,0,100.0,100.0,0.0,848.0
155,24.0,0,100.0,99.99999,0.0,689.000015
156,24.0,0,100.0,0.0,0.0,1346.0
157,24.0,0,100.0,0.0,0.0,1148.0
158,24.0,0,100.0,0.0,0.0,1217.0
159,24.0,0,100.0,0.0,0.0,1500.0
160,24.0,0,100.0,0.0,0.0,1090.0
161,24.0,0,100.0,0.0,0.0,1332.0
162,24.0,0,100.0,100.0,0.0,1101.0
163,24.0,0,0.0,100.0,100.0,0.0
164,24.0,0,0.0,100.0,100.0,0.0
165,24.0,0,0.0,100.0,100.0,0.0
166,24.0,0,0.0,100.0,100.0,0.0
167,24.0,0,0.0,100.0,100.0,0.0
168,24.0,0,0.0,100.0,100.0,0.0
169,24.0,0,0.0,100.0,100.0,0.0
