,Tair,Rhair,CO2air,PARin
0,18.9,69.4,421.0,0.0
1,19.0,69.1,422.0,0.0
2,19.2,69.1,425.0,0.0
3,18.8,69.7,428.0,0.0
4,19.0,71.0,425.0,0.0
5,18.8,71.7,425.0,0.0
6,19.1,71.4,424.0,0.0
7,19.0,73.1,428.0,0.0
8,19.2,71.2,431.0,4e-06
9,25.6,58.2,430.0,47.0
10,26.0,55.9,428.0,44.0
11,24.5,57.1,428.0,52.999999
12,23.4,61.6,426.0,62.0
13,23.8,62.8,429.0,88.000001
14,24.4,63.0,422.0,129.999998
15,23.5,66.4,427.0,96.0
16,24.7,63.6,430.999999,79.000001
17,23.2,59.7,417.0,51.0
18,21.9,62.5,404.0,42.0
19,21.6,70.5,401.0,0.0
20,21.6,76.4,402.0,0.0
21,19.8,77.9,404.0,0.0
22,20.3,79.0,408.0,0.0
23,19.4,82.7,408.0,0.0
24,20.2,82.6,412.0,0.0
25,19.4,84.5,416.0,0.0
26,20.1,82.3,418.999999,0.0
27,19.5,83.9,414.0,0.0
28,19.6,83.7,415.0,0.0
29,19.6,83.4,420.0,0.0
30,19.2,84.9,421.0,0.0
31,19.2,86.4,422.0,0.0
32,20.5,82.0,420.0,4e-06
33,25.8,69.3,441.0,61.0
34,24.0,67.7,522.999999,93.999999
35,24.1,71.7,510.0,122.999999
36,24.6,72.1,502.0,141.0
37,25.4,72.9,484.0,121.000001
38,26.7,64.7,458.999999,81.000002
39,25.1,74.1,427.0,119.0
40,24.9,70.1,423.000001,66.000003
41,24.8,71.1,419.0,60.0
42,23.6,75.0,417.0,46.0
43,23.7,84.7,420.999999,0.0
44,18.9,83.0,425.0,0.0
45,18.7,82.4,426.0,0.0
46,19.0,82.6,428.0,0.0
47,19.0,82.9,431.0,0.0
48,19.2,82.5,436.0,0.0
49,19.2,83.0,436.0,0.0
50,19.1,82.5,435.0,0.0
51,19.3,82.1,433.0,0.0
52,19.0,82.4,435.0,0.0
53,18.9,82.6,436.0,0.0
54,18.8,82.9,435.0,0.0
55,19.0,82.3,435.0,0.0
56,18.7,82.9,434.0,0.0
57,18.2,85.2,437.0,0.0
58,16.5,84.8,436.0,16.0
59,16.3,83.8,441.000004,61.000002
60,16.6,81.6,1308.0,74.0
61,17.0,81.1,1406.000003,44.999999
62,20.3,72.0,1240.999999,315.999999
63,28.9,67.2,953.0,273.0
64,27.5,64.1,887.000006,288.999999
65,26.7,65.8,600.000008,260.0
66,24.1,67.0,951.0,254.0
67,20.85,74.8,853.000001,0.0
68,19.3,74.8,718.999999,0.0
69,18.9,75.7,667.0,0.0
70,19.0,76.8,646.0,0.0
71,19.1,76.9,620.0,0.0
72,19.0,77.3,602.0,0.0
73,19.2,77.1,580.0,0.0
74,19.0,77.4,569.999999,0.0
75,19.1,77.2,552.0,0.0
