,heating_temp_vip,lee_wind_min_vip,assim_vip,scr_enrg_vip,scr_blck_vip,CO2_vip
0,18.0,0,0.0,0.0,100.0,900.0
1,18.0,0,0.0,0.0,100.0,900.0
2,18.0,0,0.0,0.0,100.0,900.0
3,18.0,0,0.0,0.0,100.0,900.0
4,18.0,0,0.0,0.0,100.0,900.0
5,18.0,0,71.0,0.0,100.0,900.0
6,18.0,0,71.0,0.0,100.0,900.0
7,18.0,0,46.0,0.0,0.0,900.0
8,18.0,0,0.0,100.0,0.0,900.0
9,18.0,0,0.0,100.0,0.0,900.0
10,18.0,0,0.0,100.0,0.0,819.0
11,18.0,0,0.0,100.0,0.0,635.0
12,18.0,0,0.0,100.0,0.0,497.0
13,18.0,0,0.0,100.0,0.0,1000.0
14,18.0,0,0.0,100.0,0.0,740.000017
15,18.0,0,0.0,100.0,0.0,900.0
16,18.0,0,0.0,100.0,0.0,864.0
17,18.0,0,0.0,100.0,0.0,892.999996
18,18.0,0,0.0,100.0,0.0,876.000001
19,18.0,0,0.0,100.0,0.0,884.0
20,18.0,0,0.0,100.0,0.0,900.0
21,18.0,0,45.000001,0.0,0.0,900.0
22,18.0,0,0.0,0.0,100.0,900.0
23,18.0,0,0.0,0.0,100.0,900.0
24,18.0,0,0.0,0.0,100.0,900.0
25,18.0,0,0.0,0.0,100.0,900.0
26,18.0,0,0.0,0.0,100.0,900.0
27,18.0,0,0.0,0.0,100.0,900.0
28,18.0,0,0.0,0.0,100.0,900.0
29,18.0,0,71.0,0.0,100.0,900.0
30,18.0,0,71.0,0.0,100.0,900.0
31,18.0,0,25.0,0.0,0.0,900.0
32,18.0,0,0.0,0.0,0.0,900.0
33,18.0,0,0.0,100.0,0.0,900.0
34,18.0,0,0.0,100.0,0.0,900.0
35,18.0,0,0.0,100.0,0.0,900.0
36,18.0,0,0.0,100.0,0.0,900.0
37,18.0,0,0.0,100.0,0.0,900.0
38,18.0,0,0.0,100.0,0.0,900.0
39,18.0,0,0.0,100.0,0.0,900.0
40,18.0,0,0.0,100.0,0.0,865.0
41,18.0,0,0.0,100.0,0.0,858.000003
42,18.0,0,0.0,100.0,0.0,900.0
43,18.0,0,0.0,100.0,0.0,900.0
44,18.0,0,26.0,0.0,0.0,900.0
45,18.0,0,62.0,0.0,0.0,900.0
46,18.0,0,0.0,0.0,100.0,900.0
47,18.0,0,0.0,0.0,100.0,900.0
48,18.0,0,0.0,0.0,100.0,900.0
49,18.0,0,0.0,0.0,100.0,900.0
50,18.0,0,0.0,0.0,100.0,900.0
51,18.0,0,0.0,0.0,100.0,900.0
52,18.0,0,0.0,0.0,100.0,900.0
53,18.0,0,71.0,0.0,100.0,900.0
54,18.0,0,71.0,0.0,100.0,900.0
55,18.0,0,38.0,0.0,0.0,900.0
56,18.0,0,0.0,100.0,0.0,900.0
57,18.0,0,0.0,100.0,0.0,900.0
58,18.0,0,0.0,100.0,0.0,900.0
59,18.0,0,0.0,100.0,0.0,900.0
60,18.0,0,0.0,100.0,0.0,883.0
61,18.0,0,0.0,100.0,0.0,859.0
62,18.0,0,0.0,100.0,0.0,900.0
63,18.0,0,0.0,100.0,0.0,900.0
64,18.0,0,0.0,100.0,0.0,871.0
65,18.0,0,0.0,100.0,0.0,850.0
66,18.0,0,0.0,100.0,0.0,899.999997
67,18.0,0,0.0,100.0,0.0,878.0
68,18.0,0,0.0,0.0,0.0,900.0
69,18.0,0,46.000002,0.0,0.0,899.999998
70,18.0,0,0.0,0.0,100.0,900.0
