,Tair,Rhair,CO2air,PARin
0,12.9,78.4,423.0,0.0
1,13.4,76.7,424.0,0.0
2,13.0,78.8,418.0,0.0
3,13.5,77.4,421.0,0.0
4,13.0,80.4,419.0,0.0
5,13.7,78.0,426.0,0.0
6,13.3,80.4,420.0,0.0
7,13.0,82.5,418.0,0.0
8,12.8,83.8,418.0,0.0
9,13.8,80.2,425.0,0.0
10,16.3,71.0,437.0,23.0
11,16.2,71.3,444.0,25.0
12,16.1,72.7,449.0,58.0
13,16.7,72.6,462.0,85.000001
14,17.5,71.4,475.0,134.999998
15,17.4,74.6,484.0,118.0
16,16.5,77.4,502.0,72.000001
17,16.1,76.8,506.0,32.999999
18,15.6,76.9,493.0,0.0
19,15.0,79.2,462.000001,0.0
20,14.6,78.9,437.0,0.0
21,14.2,78.2,419.0,0.0
22,14.0,78.6,408.0,0.0
23,14.2,74.9,408.0,1.0
24,14.1,73.9,433.0,0.0
25,14.0,73.9,414.0,0.0
26,13.8,74.3,407.0,0.0
27,13.7,74.7,402.0,0.0
28,13.7,74.9,412.0,0.0
29,13.7,74.7,405.0,0.0
30,13.7,76.1,404.0,0.0
31,13.7,76.9,436.999999,0.0
32,13.6,80.0,423.000001,53.999995
33,15.8,73.8,531.0,174.0
34,16.3,74.0,527.0,215.999999
35,18.8,68.7,549.0,357.999996
36,19.4,69.0,542.0,230.0
37,20.4,67.5,483.000001,195.000001
38,19.7,54.0,414.999999,168.000003
39,20.1,56.3,601.0,223.0
40,19.2,65.7,526.0,120.000003
41,17.7,71.1,503.0,116.999999
42,17.2,70.8,458.0,98.0
43,15.8,78.9,440.0,0.0
44,14.9,83.2,428.0,0.0
45,15.8,79.8,430.0,0.0
46,15.3,81.8,421.0,1.0
47,15.2,80.3,414.0,1.0
48,15.1,79.1,412.0,0.0
49,16.1,73.1,413.0,165.0
50,17.0,68.3,405.0,164.0
51,17.1,67.0,451.0,164.0
52,17.2,65.2,683.000002,164.0
53,17.3,63.6,522.999999,165.0
54,17.4,62.6,463.0,164.0
55,17.2,62.5,429.0,163.0
56,17.3,62.4,418.0,165.0
57,17.1,62.3,415.0,163.0
58,16.0,71.6,415.0,176.0
59,16.2,71.2,421.000005,226.000002
60,16.4,71.3,658.0,263.0
61,16.9,71.5,609.0,220.999998
62,17.3,69.7,618.000006,244.999998
63,17.0,69.8,609.0,181.0
64,17.0,70.4,643.0,199.999999
65,16.0,73.6,601.0,8.0
66,15.1,81.2,587.0,0.0
67,14.9,82.6,536.000001,0.0
68,15.1,81.2,492.999999,0.0
69,14.5,82.7,459.0,0.0
70,14.0,83.8,438.0,0.0
71,12.8,74.0,406.0,1.0
72,12.9,74.9,406.0,0.0
73,13.7,70.5,674.999991,165.0
74,14.2,67.2,622.999999,164.0
75,14.0,67.2,630.0,165.0
76,14.0,66.8,616.000002,165.0
77,14.1,66.0,577.000006,164.0
78,14.1,65.8,616.0,164.0
79,14.1,65.2,641.999999,163.0
80,14.2,66.2,647.999999,166.0
81,15.2,65.3,583.0,165.0
82,15.8,72.8,647.000001,209.0
83,17.0,65.0,631.000006,264.000001
84,16.9,63.2,598.0,198.0
85,16.3,64.4,662.999997,214.999999
86,15.7,70.4,613.0,173.999999
87,15.6,67.2,669.0,187.0
88,15.2,66.7,620.0,174.0
89,14.4,71.7,644.0,9.0
90,12.6,77.0,617.0,0.0
91,12.2,81.6,596.0,0.0
92,12.7,81.5,583.0,0.0
93,13.2,78.7,539.0,0.0
94,12.6,82.5,532.0,0.0
95,12.1,82.0,518.0,0.0
96,13.0,79.1,515.0,0.0
97,14.9,73.7,688.000001,164.0
98,14.6,71.5,634.0,164.0
99,14.6,70.5,605.0,164.0
100,14.5,70.1,630.0,164.0
101,14.7,69.9,607.0,164.0
102,14.6,69.4,650.0,163.0
103,14.4,69.2,621.0,164.0
104,14.6,69.6,605.000003,165.0
105,14.7,69.6,614.0,176.0
106,16.9,68.3,640.000001,208.0
107,17.6,69.9,641.000004,272.999999
108,17.8,66.3,644.0,267.0
109,18.2,69.8,652.000001,318.999991
110,19.6,64.0,610.999998,281.000003
111,19.0,62.5,572.0,272.0
112,17.3,67.7,675.99999,212.000001
113,16.9,68.6,688.999996,166.0
114,16.7,68.1,638.0,157.0
115,16.4,69.8,688.999993,157.0
116,16.0,73.1,622.0,157.0
117,15.9,74.6,661.0,156.0
118,15.8,75.8,614.0,157.0
119,16.0,75.0,615.999999,156.0
120,16.2,74.4,614.0,157.0
121,16.2,74.4,626.000001,156.0
122,16.4,74.3,619.0,156.0
123,16.4,74.8,635.0,156.0
