,Tair,Rhair,CO2air,PARin
0,11.4,82.0,446.0,52.0
1,11.3,82.5,443.0,51.0
2,11.4,83.0,437.0,52.0
3,11.6,83.2,442.0,52.0
4,11.6,83.5,446.0,51.0
5,11.7,83.9,442.0,52.0
6,11.9,83.6,439.0,52.0
7,11.9,84.0,443.0,51.0
8,12.0,83.9,445.0,51.0
9,12.2,83.5,445.0,57.0
10,12.6,82.8,447.0,68.0
11,13.2,81.5,455.0,77.999999
12,14.0,80.6,466.0,90.0
13,14.9,79.1,482.0,118.000001
14,16.5,74.9,498.0,167.999998
15,17.5,72.2,516.0,130.0
16,17.0,74.3,548.0,107.000001
17,16.8,75.8,561.0,71.0
18,17.7,66.9,510.0,51.0
19,17.6,63.6,453.0,51.0
20,17.6,67.6,453.0,51.0
21,17.9,68.1,448.0,51.0
22,18.1,68.6,443.0,51.0
23,18.0,67.9,438.0,51.0
24,17.9,67.4,435.0,51.0
25,17.9,67.6,432.0,51.0
26,17.9,66.5,427.0,50.0
27,17.8,66.8,430.0,51.0
28,18.3,65.9,427.0,51.0
29,18.2,66.8,430.0,51.0
30,17.8,68.7,427.0,51.0
31,17.9,69.0,431.0,50.0
32,18.1,67.8,536.000002,50.0
33,18.5,69.5,542.0,84.0
34,18.9,70.2,558.0,121.999999
35,19.7,69.5,568.0,111.999999
36,20.3,70.1,578.0,113.0
37,21.3,70.5,558.000001,96.000001
38,23.3,66.3,558.000001,88.000002
39,21.9,73.8,530.0,131.0
40,20.1,75.6,522.0,69.000002
41,18.6,78.6,514.0,63.999999
42,18.4,77.2,509.0,47.0
43,17.8,78.8,503.0,47.0
44,17.6,75.0,471.999999,47.0
45,17.9,71.9,448.0,47.0
46,18.1,73.7,444.0,47.0
47,18.1,75.1,448.0,47.0
48,17.7,76.3,448.0,47.0
49,17.8,70.8,431.0,47.0
50,18.3,71.9,432.0,46.0
51,18.2,74.5,430.0,47.0
52,18.1,75.3,437.0,47.0
53,18.8,67.3,430.0,0.0
54,18.1,70.5,434.0,0.0
55,17.9,74.4,436.0,0.0
56,17.4,76.8,442.0,0.0
57,16.4,72.6,435.0,7.0
58,15.9,76.9,437.0,17.0
59,15.7,80.2,445.0,63.000002
60,16.2,78.5,453.0,78.0
61,16.0,74.2,463.0,16.999998
62,16.9,72.2,529.0,96.999999
63,20.0,64.2,564.0,0.0
64,18.9,69.9,812.000001,39.999998
65,17.5,76.0,751.999999,3.0
66,16.9,76.9,677.0,0.0
67,18.0,67.9,526.0,0.0
68,18.2,70.9,516.0,0.0
69,18.1,72.0,510.0,0.0
70,18.2,72.4,502.0,0.0
71,18.2,73.1,500.0,0.0
72,18.0,74.1,496.0,0.0
73,18.0,74.2,489.0,47.0
74,17.7,75.8,487.0,47.0
75,17.9,74.3,482.0,47.0
76,18.1,73.5,475.0,48.0
77,18.1,73.6,467.0,47.0
78,18.1,73.7,464.0,47.0
79,18.2,73.8,460.0,47.0
80,18.3,73.3,460.0,47.0
81,18.1,74.6,468.0,41.0
82,19.2,71.0,464.0,74.0
83,20.5,67.3,459.0,118.000001
84,19.9,70.6,459.0,68.0
85,19.5,73.4,474.999999,291.999999
86,19.6,69.8,534.0,12.999999
87,20.2,64.6,547.0,27.0
88,18.9,68.5,585.999999,15.0
89,18.4,69.8,600.0,7.0
90,17.0,73.6,594.0,0.0
91,17.6,72.1,590.0,0.0
92,17.8,71.0,585.0,0.0
93,18.0,70.8,571.0,0.0
94,18.0,70.6,565.0,0.0
95,18.1,69.3,554.0,0.0
96,18.2,69.0,542.0,0.0
97,18.2,68.3,528.0,0.0
98,18.0,68.8,521.0,0.0
99,17.9,68.8,523.0,0.0
100,17.9,68.5,520.0,0.0
101,17.8,68.9,514.0,0.0
102,18.0,67.9,510.0,0.0
103,17.9,67.8,511.0,0.0
104,17.9,68.5,509.0,0.0
105,18.8,66.1,512.0,17.0
106,19.8,64.1,512.0,47.0
107,21.1,61.9,514.0,119.999998
108,22.1,64.5,515.0,122.0
109,23.7,66.4,499.0,182.999989
110,24.3,66.6,501.0,134.000004
111,23.6,70.5,503.0,129.0
112,21.4,68.7,527.0,53.000001
113,19.0,75.2,508.999999,7.0
114,18.1,75.7,501.0,0.0
115,17.8,74.7,514.0,0.0
116,17.9,73.2,502.0,0.0
117,17.9,72.5,501.0,0.0
118,17.9,72.6,506.0,0.0
119,18.2,71.2,505.0,0.0
120,18.2,71.6,507.0,0.0
121,18.2,71.5,500.0,0.0
122,17.4,74.8,492.0,0.0
123,16.2,79.7,509.0,0.0
124,15.3,82.9,506.0,0.0
125,14.7,84.9,513.999999,0.0
126,14.4,86.0,501.0,0.0
127,14.2,87.0,501.0,0.0
128,14.1,87.4,510.0,0.0
129,13.8,88.0,515.0,2.0
130,13.8,87.7,503.0,8.0
131,13.9,87.7,503.0,17.999999
132,14.4,86.0,508.0,28.0
133,14.5,85.5,519.0,58.000001
134,16.4,79.4,526.0,71.0
135,17.1,77.9,541.0,39.0
136,17.0,78.1,557.0,62.999998
137,15.5,84.1,554.0,0.0
138,13.9,87.0,551.0,0.0
139,12.8,88.8,514.0,0.0
140,12.1,89.0,511.0,0.0
141,11.9,89.5,502.0,0.0
142,11.4,88.9,501.0,0.0
143,11.6,86.9,507.999999,0.0
144,11.3,86.1,502.0,0.0
145,11.1,86.1,504.000001,0.0
146,10.8,86.6,498.0,0.0
147,11.1,86.6,502.0,0.0
148,11.1,85.9,507.0,0.0
149,11.3,85.9,503.999999,0.0
150,11.5,86.2,501.0,0.0
151,11.5,86.8,507.0,0.0
152,11.8,86.3,513.0,0.0
153,11.9,87.1,511.0,23.0
154,13.2,83.3,506.0,47.0
155,15.2,80.7,516.000001,90.999998
156,19.3,61.3,497.0,243.0
157,22.9,63.8,532.0,209.999994
158,23.1,63.0,764.99999,209.999999
159,28.0,68.1,651.0,63.0
160,26.6,68.8,633.999998,59.0
161,24.8,67.6,575.999999,136.0
162,22.3,67.1,592.0,0.0
163,19.6,77.0,715.000001,0.0
164,20.3,73.1,663.999998,0.0
165,19.4,74.3,579.0,270.0
166,19.4,70.7,594.000001,270.0
167,17.9,77.6,652.0,2.8e-05
168,17.7,77.4,675.0,0.0
169,17.4,72.6,522.000001,124.999997
170,18.8,69.8,520.0,206.0
171,19.5,73.3,512.0,259.0
172,19.2,72.4,531.999998,0.0
173,19.3,73.5,631.999999,258.999974
174,18.7,69.3,531.0,261.0
175,19.3,70.9,572.0,259.0
176,18.2,78.5,615.0,261.0
177,17.5,72.5,585.0,20.0
178,20.3,66.7,598.0,318.0
179,23.3,67.8,542.0,337.0
180,22.5,67.3,633.0,117.0
181,23.9,69.8,744.000001,129.000001
182,25.7,73.3,607.0,355.0
183,26.3,70.1,564.0,333.0
184,26.0,74.8,527.000001,321.0
185,24.6,72.8,527.999999,272.0
186,22.9,72.8,505.0,257.0
187,22.4,73.7,515.0,268.0
188,22.1,75.6,517.0,0.0
189,20.6,80.1,509.0,270.0
190,21.1,77.8,509.999999,268.0
191,21.5,78.6,511.0,268.0
192,21.8,78.9,516.0,268.0
193,21.9,78.8,517.000001,268.0
194,21.9,78.8,520.0,268.0
195,21.8,78.9,524.0,268.0
196,21.8,79.0,507.0,268.0
197,21.8,78.6,503.0,268.0
198,21.8,78.9,511.0,267.0
199,21.6,78.3,502.0,267.0
200,21.5,78.2,505.0,268.0
201,21.5,79.3,519.0,267.0
202,22.1,79.7,531.000001,267.0
203,23.0,79.7,541.999999,267.0
204,24.7,77.0,575.0,266.0
205,25.3,76.4,501.000001,266.0
206,25.0,78.4,541.999999,266.0
207,24.8,78.8,556.0,266.0
208,23.9,77.8,504.0,267.0
209,23.4,77.7,511.0,267.0
210,22.9,76.9,515.0,267.0
211,22.3,77.0,506.999999,268.0
212,21.9,78.1,514.0,269.0
213,21.7,79.0,522.0,268.0
214,21.7,79.3,503.999999,267.0
215,21.9,79.7,536.0,267.0
216,22.1,79.7,500.0,267.0
217,20.8,80.2,510.000001,122.999997
218,18.3,76.6,484.999999,0.0
219,18.0,71.3,545.0,0.0
220,19.6,65.0,493.0,247.0
221,20.8,67.0,508.0,247.000001
222,18.9,75.1,601.0,0.0
223,20.1,71.2,654.000001,257.0
224,20.4,69.8,561.999999,257.0
225,19.1,73.8,603.0,17.0
226,20.4,73.2,659.000001,301.000001
227,23.3,70.7,599.999999,327.999999
228,24.7,72.3,567.0,389.0
229,23.5,70.6,760.000001,72.000004
230,23.3,72.0,778.999999,370.999999
231,24.7,72.3,680.0,373.0
232,24.9,72.4,648.999999,317.000001
233,23.5,70.3,806.999996,291.0
234,22.1,69.6,753.0,279.0
235,21.9,72.8,670.000001,289.0
236,21.7,74.1,703.0,0.0
237,18.5,83.2,775.0,0.0
238,17.5,83.3,694.000001,0.0
239,17.9,78.6,627.999999,0.0
240,17.8,75.7,569.0,0.0
241,18.0,73.6,531.0,0.0
242,19.5,67.6,498.0,205.0
243,19.7,67.0,519.0,280.0
244,19.9,66.5,561.0,280.0
245,19.6,67.1,568.0,280.0
246,19.6,67.7,575.0,280.0
247,19.2,68.3,582.000001,280.0
248,17.7,60.1,499.000001,283.0
249,20.4,56.7,546.0,319.0
250,19.3,57.2,509.999998,332.0
251,20.6,62.1,547.999999,364.0
252,21.8,61.3,542.0,397.0
253,23.5,60.9,508.999999,439.999998
254,21.8,55.700001,505.000001,334.000004
255,21.6,62.4,627.0,340.0
256,21.6,64.8,636.999998,333.000001
257,21.1,59.6,585.999999,303.0
258,20.5,59.0,569.0,280.0
259,20.4,70.6,581.000001,291.0
260,19.8,71.4,597.0,0.0
261,15.9,82.9,579.0,0.0
262,14.3,85.6,571.0,0.0
263,15.0,82.2,568.0,0.0
264,14.5,82.8,564.0,0.0
265,13.9,80.9,542.0,124.999997
266,19.6,54.5,491.0,206.0
267,19.8,60.6,504.0,283.0
268,19.3,64.0,611.000001,282.0
269,18.6,68.5,611.000003,283.0
270,18.9,66.3,677.0,283.0
271,18.6,68.1,710.000001,282.0
272,16.9,66.8,692.999999,284.0
273,19.8,61.5,738.0,307.0
274,19.4,53.9,529.000001,340.999999
275,20.1,57.9,515.999999,374.0
276,21.8,56.5,558.0,398.0
277,23.0,64.4,523.999999,401.0
278,24.3,61.4,491.0,401.0
279,24.2,62.1,502.0,399.0
280,23.3,62.0,496.000001,354.000001
281,20.9,59.4,554.000002,297.0
282,20.0,58.2,518.0,282.0
283,20.8,65.0,531.999999,291.0
284,20.3,66.7,644.0,0.0
285,16.5,80.3,603.0,0.0
286,15.0,84.2,569.0,0.0
287,14.4,84.4,537.0,0.0
288,13.8,83.7,510.0,0.0
289,13.3,82.5,476.000001,124.999997
290,17.1,49.7,434.0,206.0
291,20.3,57.3,504.0,281.0
292,19.7,61.6,608.000001,281.0
293,19.0,65.5,627.999999,281.0
294,18.6,68.9,790.0,282.0
295,18.6,71.3,722.000001,282.0
296,16.6,62.7,563.999999,284.0
297,20.0,58.8,603.0,304.0
298,18.2,52.8,543.999999,335.0
299,19.2,57.8,520.000002,367.0
300,21.4,56.0,559.0,398.0
301,22.6,59.4,502.0,420.000001
302,21.9,59.3,531.000002,380.0
303,21.6,60.2,502.0,344.0
304,21.6,59.1,534.000001,333.0
305,20.7,59.5,517.999998,300.0
306,20.4,56.2,518.0,281.0
307,21.3,66.1,573.999998,289.0
308,21.3,68.8,674.0,0.0
309,18.0,76.2,609.0,0.0
310,17.0,82.0,575.0,0.0
311,16.7,80.9,526.999999,0.0
312,16.5,78.1,492.0,0.0
313,16.4,73.4,443.000001,124.999997
314,21.2,63.7,501.0,205.0
315,21.9,68.0,565.0,279.0
316,22.1,72.8,597.000001,279.0
317,22.3,73.4,569.0,278.0
318,22.1,74.7,517.0,278.0
319,22.0,75.3,569.999999,279.0
320,20.7,71.1,553.999998,279.0
321,20.1,68.4,496.0,299.0
322,19.5,65.7,500.000003,334.999999
323,19.5,57.2,498.0,361.000001
324,21.3,57.8,503.0,482.0
325,23.9,65.1,487.000001,324.000012
326,23.8,60.1,479.000001,412.999998
327,22.9,62.1,492.0,378.0
328,22.0,58.5,515.0,345.0
329,21.1,60.0,488.000002,302.0
330,20.2,58.2,493.0,280.0
331,21.3,62.5,531.999997,288.0
332,21.1,65.6,626.000003,0.0
333,17.3,82.3,610.0,0.0
334,16.1,87.8,580.0,0.0
