,Tout,Rhout,Iglob,Windsp,PARout
0,5.1,77.1,1.0,4.4,0.0
1,4.8,77.5,0.0,5.0,0.0
2,4.9,79.4,0.0,3.0,0.0
3,5.6,75.2,0.0,4.9,0.0
4,5.6,76.9,0.0,5.4,0.0
5,6.0,81.5,0.0,6.7,0.0
6,6.0,88.6,0.0,6.7,0.0
7,6.2,96.1,0.0,6.4,0.0
8,6.6,97.2,0.0,9.4,0.0
9,6.9,99.5,8.0,9.3,13.0
10,7.1,99.5,23.0,10.0,42.000001
11,7.5,99.5,30.0,11.1,63.999999
12,8.4,93.4,46.0,12.1,102.0
13,8.8,91.6,98.000001,11.5,209.000001
14,9.6,89.0,141.999999,11.9,294.999998
15,9.6,88.5,97.0,12.0,197.0
16,9.6,86.0,52.000002,11.5,108.000004
17,9.8,80.1,17.999999,13.1,39.999998
18,9.9,80.0,0.0,12.4,0.0
19,10.2,78.1,0.0,13.4,0.0
20,10.0,78.8,0.0,10.5,0.0
21,9.8,77.7,0.0,12.2,0.0
22,9.5,78.5,0.0,12.0,0.0
23,9.5,77.8,0.0,10.6,0.0
24,9.0,80.2,0.0,11.6,0.0
25,8.9,80.5,0.0,11.8,0.0
26,8.7,80.5,0.0,11.3,0.0
27,8.5,83.3,0.0,10.3,0.0
28,8.6,82.8,0.0,9.1,0.0
29,8.7,83.0,0.0,9.4,0.0
30,8.5,85.1,0.0,7.0,0.0
31,8.3,86.8,0.0,6.6,0.0
32,8.2,88.3,0.0,6.1,0.0
33,8.4,88.7,23.0,6.1,49.0
34,8.4,93.0,81.999999,5.6,172.999998
35,8.7,90.9,135.999997,6.1,283.999994
36,9.2,90.4,184.0,5.1,393.0
37,9.2,90.6,188.999999,4.1,406.999998
38,9.5,84.2,225.999995,2.0,185.000005
39,9.3,88.3,144.0,3.5,304.0
40,9.0,91.8,39.000003,4.5,90.000006
41,8.9,90.3,26.999999,4.0,52.999999
42,8.7,94.6,0.0,4.5,0.0
43,8.6,98.8,0.0,4.0,0.0
44,8.4,99.4,0.0,3.5,1.0
45,8.5,99.4,0.0,3.0,0.0
46,8.7,98.6,0.0,3.5,0.0
47,8.8,95.8,0.0,4.0,0.0
48,8.7,95.8,0.0,4.1,0.0
49,8.4,95.7,0.0,5.1,0.0
50,8.2,96.6,0.0,5.1,0.0
51,8.5,94.6,1.0,5.6,0.0
52,8.4,91.9,0.0,6.0,0.0
53,8.6,87.3,0.0,6.0,0.0
54,8.3,88.4,1.0,5.0,0.0
55,8.3,86.2,0.0,5.8,0.0
56,8.1,85.8,0.0,6.2,0.0
57,7.6,91.2,12.0,7.1,27.0
58,7.1,98.8,24.0,5.6,47.0
59,6.9,99.4,89.000003,6.4,184.000007
60,7.2,95.6,98.0,7.6,223.0
61,7.1,98.2,68.999998,7.0,134.999997
62,7.4,96.7,89.999998,7.0,192.999998
63,7.4,96.0,33.0,7.1,66.0
64,7.8,92.9,61.999998,6.7,118.999997
65,7.6,95.8,10.0,6.3,20.0
66,7.6,95.0,1.0,4.9,0.0
67,7.3,96.1,0.0,4.9,0.0
68,7.7,93.2,0.0,4.4,0.0
69,7.6,90.9,0.0,5.5,0.0
70,8.0,86.4,0.0,5.0,0.0
71,8.1,85.4,0.0,4.0,0.0
72,8.1,87.5,0.0,5.0,0.0
73,8.1,88.8,0.0,5.5,0.0
74,8.1,88.6,0.0,5.6,0.0
75,8.3,88.8,0.0,7.4,0.0
76,8.4,86.7,0.0,8.6,0.0
77,8.4,87.2,0.0,8.4,0.0
78,8.5,86.9,0.0,8.8,0.0
79,8.4,85.6,0.0,7.4,0.0
80,8.2,89.8,0.0,8.0,0.0
81,8.6,88.5,14.0,7.6,24.0
82,8.6,88.7,53.999999,6.8,110.999998
83,8.7,87.7,169.999997,9.4,300.999998
84,8.8,83.6,88.0,9.3,160.0
85,8.8,83.2,51.0,10.4,121.0
86,7.9,91.3,16.999999,9.9,46.999999
87,3.8,95.8,41.0,5.8,90.0
88,4.3,92.4,22.0,7.3,49.0
89,4.8,84.4,21.999999,8.2,46.999997
90,5.3,80.8,0.0,9.3,0.0
91,5.8,81.3,0.0,9.4,0.0
92,6.4,75.5,1.0,9.8,0.0
93,6.4,72.6,0.0,10.9,0.0
94,6.5,67.6,0.0,10.5,0.0
95,6.3,67.5,0.0,11.3,0.0
96,6.2,66.4,0.0,9.9,0.0
97,6.1,70.5,0.0,12.5,0.0
98,5.9,72.0,0.0,10.5,0.0
99,5.6,74.6,0.0,7.6,0.0
100,5.4,75.9,0.0,9.1,0.0
101,5.2,77.9,1.0,7.6,0.0
102,5.4,78.9,0.0,7.4,0.0
