2024-02-04 17:28:58.133640: iter: [1/300], train_loss: 0.0070938054, valid_loss: 0.0000176902, best_valid_loss: 0.0000176902, lr: 0.0001000000
2024-02-04 17:28:58.273250: iter: [2/300], train_loss: 0.0059863911, valid_loss: 0.0002024298, best_valid_loss: 0.0000176902, lr: 0.0001000000
2024-02-04 17:28:58.401907: iter: [3/300], train_loss: 0.0061806911, valid_loss: 0.0001667752, best_valid_loss: 0.0000176902, lr: 0.0001000000
2024-02-04 17:28:58.538568: iter: [4/300], train_loss: 0.0059630978, valid_loss: 0.0000145108, best_valid_loss: 0.0000145108, lr: 0.0001000000
2024-02-04 17:28:58.662208: iter: [5/300], train_loss: 0.0055565801, valid_loss: 0.0000512203, best_valid_loss: 0.0000145108, lr: 0.0001000000
2024-02-04 17:28:58.796911: iter: [6/300], train_loss: 0.0053267167, valid_loss: 0.0002432224, best_valid_loss: 0.0000145108, lr: 0.0001000000
2024-02-04 17:28:58.923569: iter: [7/300], train_loss: 0.0052774344, valid_loss: 0.0003436797, best_valid_loss: 0.0000145108, lr: 0.0001000000
2024-02-04 17:28:59.070178: iter: [8/300], train_loss: 0.0051815612, valid_loss: 0.0002619232, best_valid_loss: 0.0000145108, lr: 0.0001000000
2024-02-04 17:28:59.235735: iter: [9/300], train_loss: 0.0049548019, valid_loss: 0.0001087316, best_valid_loss: 0.0000145108, lr: 0.0001000000
2024-02-04 17:28:59.496040: iter: [10/300], train_loss: 0.0046822354, valid_loss: 0.0000151120, best_valid_loss: 0.0000145108, lr: 0.0001000000
2024-02-04 17:28:59.718449: iter: [11/300], train_loss: 0.0044742203, valid_loss: 0.0000028927, best_valid_loss: 0.0000028927, lr: 0.0001000000
2024-02-04 17:28:59.929884: iter: [12/300], train_loss: 0.0043309992, valid_loss: 0.0000150271, best_valid_loss: 0.0000028927, lr: 0.0001000000
2024-02-04 17:29:00.140316: iter: [13/300], train_loss: 0.0041778092, valid_loss: 0.0000050976, best_valid_loss: 0.0000028927, lr: 0.0001000000
2024-02-04 17:29:00.335794: iter: [14/300], train_loss: 0.0039690998, valid_loss: 0.0000060369, best_valid_loss: 0.0000028927, lr: 0.0001000000
2024-02-04 17:29:00.464450: iter: [15/300], train_loss: 0.0037480113, valid_loss: 0.0000550820, best_valid_loss: 0.0000028927, lr: 0.0001000000
2024-02-04 17:29:00.589119: iter: [16/300], train_loss: 0.0035673957, valid_loss: 0.0000844946, best_valid_loss: 0.0000028927, lr: 0.0000800000
2024-02-04 17:29:00.723762: iter: [17/300], train_loss: 0.0034227371, valid_loss: 0.0000636004, best_valid_loss: 0.0000028927, lr: 0.0000800000
2024-02-04 17:29:00.850451: iter: [18/300], train_loss: 0.0032373762, valid_loss: 0.0000214478, best_valid_loss: 0.0000028927, lr: 0.0000800000
2024-02-04 17:29:00.987055: iter: [19/300], train_loss: 0.0030386101, valid_loss: 0.0000007903, best_valid_loss: 0.0000007903, lr: 0.0000800000
2024-02-04 17:29:01.114718: iter: [20/300], train_loss: 0.0028580837, valid_loss: 0.0000016213, best_valid_loss: 0.0000007903, lr: 0.0000800000
2024-02-04 17:29:01.261324: iter: [21/300], train_loss: 0.0026848561, valid_loss: 0.0000002090, best_valid_loss: 0.0000002090, lr: 0.0000800000
2024-02-04 17:29:01.385989: iter: [22/300], train_loss: 0.0024903803, valid_loss: 0.0000140853, best_valid_loss: 0.0000002090, lr: 0.0000800000
2024-02-04 17:29:01.518635: iter: [23/300], train_loss: 0.0023001512, valid_loss: 0.0000369289, best_valid_loss: 0.0000002090, lr: 0.0000800000
2024-02-04 17:29:01.648285: iter: [24/300], train_loss: 0.0021226781, valid_loss: 0.0000266994, best_valid_loss: 0.0000002090, lr: 0.0000800000
2024-02-04 17:29:01.780930: iter: [25/300], train_loss: 0.0019262335, valid_loss: 0.0000027634, best_valid_loss: 0.0000002090, lr: 0.0000800000
2024-02-04 17:29:01.905628: iter: [26/300], train_loss: 0.0017272030, valid_loss: 0.0000010827, best_valid_loss: 0.0000002090, lr: 0.0000800000
2024-02-04 17:29:02.031261: iter: [27/300], train_loss: 0.0015470771, valid_loss: 0.0000003123, best_valid_loss: 0.0000002090, lr: 0.0000800000
2024-02-04 17:29:02.157924: iter: [28/300], train_loss: 0.0013566023, valid_loss: 0.0000154347, best_valid_loss: 0.0000002090, lr: 0.0000800000
2024-02-04 17:29:02.300559: iter: [29/300], train_loss: 0.0011802948, valid_loss: 0.0000166135, best_valid_loss: 0.0000002090, lr: 0.0000800000
2024-02-04 17:29:02.425207: iter: [30/300], train_loss: 0.0010091956, valid_loss: 0.0000003858, best_valid_loss: 0.0000002090, lr: 0.0000800000
2024-02-04 17:29:02.552866: iter: [31/300], train_loss: 0.0008408579, valid_loss: 0.0000005927, best_valid_loss: 0.0000002090, lr: 0.0000640000
2024-02-04 17:29:02.677535: iter: [32/300], train_loss: 0.0007207820, valid_loss: 0.0000011503, best_valid_loss: 0.0000002090, lr: 0.0000640000
2024-02-04 17:29:02.804224: iter: [33/300], train_loss: 0.0005990252, valid_loss: 0.0000099220, best_valid_loss: 0.0000002090, lr: 0.0000640000
2024-02-04 17:29:02.936873: iter: [34/300], train_loss: 0.0004928659, valid_loss: 0.0000044142, best_valid_loss: 0.0000002090, lr: 0.0000640000
2024-02-04 17:29:03.076467: iter: [35/300], train_loss: 0.0003894924, valid_loss: 0.0000004397, best_valid_loss: 0.0000002090, lr: 0.0000640000
2024-02-04 17:29:03.243024: iter: [36/300], train_loss: 0.0003005258, valid_loss: 0.0000001780, best_valid_loss: 0.0000001780, lr: 0.0000640000
2024-02-04 17:29:03.381651: iter: [37/300], train_loss: 0.0002205350, valid_loss: 0.0000047621, best_valid_loss: 0.0000001780, lr: 0.0000640000
2024-02-04 17:29:03.512303: iter: [38/300], train_loss: 0.0001549390, valid_loss: 0.0000021247, best_valid_loss: 0.0000001780, lr: 0.0000640000
2024-02-04 17:29:03.641957: iter: [39/300], train_loss: 0.0000992017, valid_loss: 0.0000014320, best_valid_loss: 0.0000001780, lr: 0.0000640000
2024-02-04 17:29:03.767650: iter: [40/300], train_loss: 0.0000593646, valid_loss: 0.0000002114, best_valid_loss: 0.0000001780, lr: 0.0000640000
2024-02-04 17:29:03.896275: iter: [41/300], train_loss: 0.0000275948, valid_loss: 0.0000030560, best_valid_loss: 0.0000001780, lr: 0.0000640000
2024-02-04 17:29:04.019948: iter: [42/300], train_loss: 0.0000116929, valid_loss: 0.0000006792, best_valid_loss: 0.0000001780, lr: 0.0000640000
2024-02-04 17:29:04.148632: iter: [43/300], train_loss: 0.0000019059, valid_loss: 0.0000007180, best_valid_loss: 0.0000001780, lr: 0.0000640000
2024-02-04 17:29:04.273269: iter: [44/300], train_loss: 0.0000022702, valid_loss: 0.0000017608, best_valid_loss: 0.0000001780, lr: 0.0000640000
2024-02-04 17:29:04.404947: iter: [45/300], train_loss: 0.0000108297, valid_loss: 0.0000007799, best_valid_loss: 0.0000001780, lr: 0.0000640000
2024-02-04 17:29:04.529584: iter: [46/300], train_loss: 0.0000206664, valid_loss: 0.0000010915, best_valid_loss: 0.0000001780, lr: 0.0000512000
2024-02-04 17:29:04.654255: iter: [47/300], train_loss: 0.0000314781, valid_loss: 0.0000003851, best_valid_loss: 0.0000001780, lr: 0.0000512000
2024-02-04 17:29:04.788889: iter: [48/300], train_loss: 0.0000421712, valid_loss: 0.0000001280, best_valid_loss: 0.0000001280, lr: 0.0000512000
2024-02-04 17:29:04.916577: iter: [49/300], train_loss: 0.0000506063, valid_loss: 0.0000018475, best_valid_loss: 0.0000001280, lr: 0.0000512000
2024-02-04 17:29:05.056173: iter: [50/300], train_loss: 0.0000584548, valid_loss: 0.0000001136, best_valid_loss: 0.0000001136, lr: 0.0000512000
2024-02-04 17:29:05.193806: iter: [51/300], train_loss: 0.0000622828, valid_loss: 0.0000001383, best_valid_loss: 0.0000001136, lr: 0.0000512000
2024-02-04 17:29:05.323465: iter: [52/300], train_loss: 0.0000644729, valid_loss: 0.0000012812, best_valid_loss: 0.0000001136, lr: 0.0000512000
2024-02-04 17:29:05.451118: iter: [53/300], train_loss: 0.0000636965, valid_loss: 0.0000004341, best_valid_loss: 0.0000001136, lr: 0.0000512000
2024-02-04 17:29:05.578778: iter: [54/300], train_loss: 0.0000601767, valid_loss: 0.0000001568, best_valid_loss: 0.0000001136, lr: 0.0000512000
2024-02-04 17:29:05.706436: iter: [55/300], train_loss: 0.0000556770, valid_loss: 0.0000004993, best_valid_loss: 0.0000001136, lr: 0.0000512000
2024-02-04 17:29:05.830106: iter: [56/300], train_loss: 0.0000489494, valid_loss: 0.0000006800, best_valid_loss: 0.0000001136, lr: 0.0000512000
2024-02-04 17:29:05.966741: iter: [57/300], train_loss: 0.0000419640, valid_loss: 0.0000000959, best_valid_loss: 0.0000000959, lr: 0.0000512000
2024-02-04 17:29:06.093411: iter: [58/300], train_loss: 0.0000346737, valid_loss: 0.0000000974, best_valid_loss: 0.0000000959, lr: 0.0000512000
2024-02-04 17:29:06.221060: iter: [59/300], train_loss: 0.0000271299, valid_loss: 0.0000005978, best_valid_loss: 0.0000000959, lr: 0.0000512000
2024-02-04 17:29:06.375647: iter: [60/300], train_loss: 0.0000206954, valid_loss: 0.0000000360, best_valid_loss: 0.0000000360, lr: 0.0000512000
2024-02-04 17:29:06.543198: iter: [61/300], train_loss: 0.0000146427, valid_loss: 0.0000000279, best_valid_loss: 0.0000000279, lr: 0.0000409600
2024-02-04 17:29:06.668864: iter: [62/300], train_loss: 0.0000105996, valid_loss: 0.0000002279, best_valid_loss: 0.0000000279, lr: 0.0000409600
2024-02-04 17:29:06.794552: iter: [63/300], train_loss: 0.0000073059, valid_loss: 0.0000001121, best_valid_loss: 0.0000000279, lr: 0.0000409600
2024-02-04 17:29:06.922185: iter: [64/300], train_loss: 0.0000046190, valid_loss: 0.0000000622, best_valid_loss: 0.0000000279, lr: 0.0000409600
2024-02-04 17:29:07.061815: iter: [65/300], train_loss: 0.0000027183, valid_loss: 0.0000000097, best_valid_loss: 0.0000000097, lr: 0.0000409600
2024-02-04 17:29:07.186480: iter: [66/300], train_loss: 0.0000012973, valid_loss: 0.0000001100, best_valid_loss: 0.0000000097, lr: 0.0000409600
2024-02-04 17:29:07.336082: iter: [67/300], train_loss: 0.0000005730, valid_loss: 0.0000000053, best_valid_loss: 0.0000000053, lr: 0.0000409600
2024-02-04 17:29:07.459783: iter: [68/300], train_loss: 0.0000001349, valid_loss: 0.0000000950, best_valid_loss: 0.0000000053, lr: 0.0000409600
2024-02-04 17:29:07.607066: iter: [69/300], train_loss: 0.0000002180, valid_loss: 0.0000000023, best_valid_loss: 0.0000000023, lr: 0.0000409600
2024-02-04 17:29:07.736715: iter: [70/300], train_loss: 0.0000004052, valid_loss: 0.0000000396, best_valid_loss: 0.0000000023, lr: 0.0000409600
2024-02-04 17:29:07.863378: iter: [71/300], train_loss: 0.0000009138, valid_loss: 0.0000000153, best_valid_loss: 0.0000000023, lr: 0.0000409600
2024-02-04 17:29:07.988045: iter: [72/300], train_loss: 0.0000013841, valid_loss: 0.0000000963, best_valid_loss: 0.0000000023, lr: 0.0000409600
2024-02-04 17:29:08.131659: iter: [73/300], train_loss: 0.0000019880, valid_loss: 0.0000000003, best_valid_loss: 0.0000000003, lr: 0.0000409600
2024-02-04 17:29:08.256332: iter: [74/300], train_loss: 0.0000024686, valid_loss: 0.0000000065, best_valid_loss: 0.0000000003, lr: 0.0000409600
2024-02-04 17:29:08.382991: iter: [75/300], train_loss: 0.0000029382, valid_loss: 0.0000000553, best_valid_loss: 0.0000000003, lr: 0.0000409600
2024-02-04 17:29:08.512674: iter: [76/300], train_loss: 0.0000032608, valid_loss: 0.0000000596, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:08.645319: iter: [77/300], train_loss: 0.0000034366, valid_loss: 0.0000000018, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:08.767959: iter: [78/300], train_loss: 0.0000035017, valid_loss: 0.0000000023, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:09.021281: iter: [79/300], train_loss: 0.0000034900, valid_loss: 0.0000000318, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:09.202797: iter: [80/300], train_loss: 0.0000033696, valid_loss: 0.0000000574, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:09.346417: iter: [81/300], train_loss: 0.0000032024, valid_loss: 0.0000000060, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:09.468092: iter: [82/300], train_loss: 0.0000029490, valid_loss: 0.0000000030, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:09.625695: iter: [83/300], train_loss: 0.0000026838, valid_loss: 0.0000000163, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:09.765297: iter: [84/300], train_loss: 0.0000023653, valid_loss: 0.0000000418, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:09.889989: iter: [85/300], train_loss: 0.0000020598, valid_loss: 0.0000000070, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:10.025601: iter: [86/300], train_loss: 0.0000017306, valid_loss: 0.0000000040, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:10.154258: iter: [87/300], train_loss: 0.0000014355, valid_loss: 0.0000000089, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:10.281942: iter: [88/300], train_loss: 0.0000011411, valid_loss: 0.0000000262, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:10.419576: iter: [89/300], train_loss: 0.0000008937, valid_loss: 0.0000000058, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:10.546204: iter: [90/300], train_loss: 0.0000006622, valid_loss: 0.0000000060, best_valid_loss: 0.0000000003, lr: 0.0000327680
2024-02-04 17:29:10.677856: iter: [91/300], train_loss: 0.0000004820, valid_loss: 0.0000000049, best_valid_loss: 0.0000000003, lr: 0.0000262144
2024-02-04 17:29:10.815494: iter: [92/300], train_loss: 0.0000003519, valid_loss: 0.0000000148, best_valid_loss: 0.0000000003, lr: 0.0000262144
2024-02-04 17:29:10.970080: iter: [93/300], train_loss: 0.0000002570, valid_loss: 0.0000000078, best_valid_loss: 0.0000000003, lr: 0.0000262144
2024-02-04 17:29:11.124666: iter: [94/300], train_loss: 0.0000001751, valid_loss: 0.0000000050, best_valid_loss: 0.0000000003, lr: 0.0000262144
2024-02-04 17:29:11.272263: iter: [95/300], train_loss: 0.0000001190, valid_loss: 0.0000000050, best_valid_loss: 0.0000000003, lr: 0.0000262144
2024-02-04 17:29:11.424854: iter: [96/300], train_loss: 0.0000000787, valid_loss: 0.0000000056, best_valid_loss: 0.0000000003, lr: 0.0000262144
2024-02-04 17:29:11.590419: iter: [97/300], train_loss: 0.0000000528, valid_loss: 0.0000000074, best_valid_loss: 0.0000000003, lr: 0.0000262144
2024-02-04 17:29:11.746002: iter: [98/300], train_loss: 0.0000000428, valid_loss: 0.0000000037, best_valid_loss: 0.0000000003, lr: 0.0000262144
2024-02-04 17:29:11.888615: iter: [99/300], train_loss: 0.0000000382, valid_loss: 0.0000000065, best_valid_loss: 0.0000000003, lr: 0.0000262144
2024-02-04 17:29:12.020265: iter: [100/300], train_loss: 0.0000000465, valid_loss: 0.0000000037, best_valid_loss: 0.0000000003, lr: 0.0000262144
