2024-02-04 17:25:05.015434: iter: [1/300], train_loss: 0.2295661382, valid_loss: 0.1890099446, best_valid_loss: 0.1890099446, lr: 0.0001000000
2024-02-04 17:25:05.868159: iter: [2/300], train_loss: 0.1690965220, valid_loss: 0.1353523036, best_valid_loss: 0.1353523036, lr: 0.0001000000
2024-02-04 17:25:06.659040: iter: [3/300], train_loss: 0.1143652732, valid_loss: 0.0895217160, best_valid_loss: 0.0895217160, lr: 0.0001000000
2024-02-04 17:25:07.450922: iter: [4/300], train_loss: 0.0775828212, valid_loss: 0.0706248532, best_valid_loss: 0.0706248532, lr: 0.0001000000
2024-02-04 17:25:08.246827: iter: [5/300], train_loss: 0.0638568355, valid_loss: 0.0548846076, best_valid_loss: 0.0548846076, lr: 0.0001000000
2024-02-04 17:25:09.050040: iter: [6/300], train_loss: 0.0491808294, valid_loss: 0.0435500070, best_valid_loss: 0.0435500070, lr: 0.0001000000
2024-02-04 17:25:09.853860: iter: [7/300], train_loss: 0.0392174441, valid_loss: 0.0397523331, best_valid_loss: 0.0397523331, lr: 0.0001000000
2024-02-04 17:25:10.636767: iter: [8/300], train_loss: 0.0346025217, valid_loss: 0.0384822736, best_valid_loss: 0.0384822736, lr: 0.0001000000
2024-02-04 17:25:11.438629: iter: [9/300], train_loss: 0.0340366713, valid_loss: 0.0340224275, best_valid_loss: 0.0340224275, lr: 0.0001000000
2024-02-04 17:25:12.198592: iter: [10/300], train_loss: 0.0334593626, valid_loss: 0.0354943375, best_valid_loss: 0.0340224275, lr: 0.0001000000
2024-02-04 17:25:13.012419: iter: [11/300], train_loss: 0.0329794977, valid_loss: 0.0334110968, best_valid_loss: 0.0334110968, lr: 0.0001000000
2024-02-04 17:25:13.802306: iter: [12/300], train_loss: 0.0326788439, valid_loss: 0.0314589466, best_valid_loss: 0.0314589466, lr: 0.0001000000
2024-02-04 17:25:14.562275: iter: [13/300], train_loss: 0.0324021240, valid_loss: 0.0387559831, best_valid_loss: 0.0314589466, lr: 0.0001000000
2024-02-04 17:25:15.350196: iter: [14/300], train_loss: 0.0321917897, valid_loss: 0.0356892732, best_valid_loss: 0.0314589466, lr: 0.0001000000
2024-02-04 17:25:16.105149: iter: [15/300], train_loss: 0.0319906021, valid_loss: 0.0346252130, best_valid_loss: 0.0314589466, lr: 0.0001000000
2024-02-04 17:25:16.881079: iter: [16/300], train_loss: 0.0317579978, valid_loss: 0.0328521325, best_valid_loss: 0.0314589466, lr: 0.0000800000
2024-02-04 17:25:17.624087: iter: [17/300], train_loss: 0.0316768221, valid_loss: 0.0348080074, best_valid_loss: 0.0314589466, lr: 0.0000800000
2024-02-04 17:25:18.355132: iter: [18/300], train_loss: 0.0315678755, valid_loss: 0.0362154494, best_valid_loss: 0.0314589466, lr: 0.0000800000
2024-02-04 17:25:19.110117: iter: [19/300], train_loss: 0.0315015346, valid_loss: 0.0369060164, best_valid_loss: 0.0314589466, lr: 0.0000800000
2024-02-04 17:25:19.890034: iter: [20/300], train_loss: 0.0313789949, valid_loss: 0.0341573507, best_valid_loss: 0.0314589466, lr: 0.0000800000
2024-02-04 17:25:20.662991: iter: [21/300], train_loss: 0.0313247498, valid_loss: 0.0367132444, best_valid_loss: 0.0314589466, lr: 0.0000800000
2024-02-04 17:25:21.431909: iter: [22/300], train_loss: 0.0314815287, valid_loss: 0.0371103895, best_valid_loss: 0.0314589466, lr: 0.0000800000
2024-02-04 17:25:22.188884: iter: [23/300], train_loss: 0.0312455851, valid_loss: 0.0314361248, best_valid_loss: 0.0314361248, lr: 0.0000800000
