2024-02-04 17:21:01.719606: iter: [1/300], train_loss: 0.2450157236, valid_loss: 0.2237624178, best_valid_loss: 0.2237624178, lr: 0.0001000000
2024-02-04 17:21:02.682037: iter: [2/300], train_loss: 0.2016238701, valid_loss: 0.1801905533, best_valid_loss: 0.1801905533, lr: 0.0001000000
2024-02-04 17:21:03.554702: iter: [3/300], train_loss: 0.1533356700, valid_loss: 0.1249968857, best_valid_loss: 0.1249968857, lr: 0.0001000000
2024-02-04 17:21:04.427399: iter: [4/300], train_loss: 0.0947280414, valid_loss: 0.0612380716, best_valid_loss: 0.0612380716, lr: 0.0001000000
2024-02-04 17:21:05.210274: iter: [5/300], train_loss: 0.0394633617, valid_loss: 0.0246632217, best_valid_loss: 0.0246632217, lr: 0.0001000000
2024-02-04 17:21:06.049246: iter: [6/300], train_loss: 0.0264742286, valid_loss: 0.0290843689, best_valid_loss: 0.0246632217, lr: 0.0001000000
2024-02-04 17:21:06.855121: iter: [7/300], train_loss: 0.0251479878, valid_loss: 0.0213966848, best_valid_loss: 0.0213966848, lr: 0.0001000000
2024-02-04 17:21:07.670940: iter: [8/300], train_loss: 0.0209727590, valid_loss: 0.0215357381, best_valid_loss: 0.0213966848, lr: 0.0001000000
2024-02-04 17:21:08.489721: iter: [9/300], train_loss: 0.0199796862, valid_loss: 0.0192433329, best_valid_loss: 0.0192433329, lr: 0.0001000000
2024-02-04 17:21:09.274621: iter: [10/300], train_loss: 0.0179694151, valid_loss: 0.0172739836, best_valid_loss: 0.0172739836, lr: 0.0001000000
2024-02-04 17:21:10.105418: iter: [11/300], train_loss: 0.0165257887, valid_loss: 0.0163873921, best_valid_loss: 0.0163873921, lr: 0.0001000000
2024-02-04 17:21:10.924212: iter: [12/300], train_loss: 0.0150343713, valid_loss: 0.0151226862, best_valid_loss: 0.0151226862, lr: 0.0001000000
2024-02-04 17:21:11.719090: iter: [13/300], train_loss: 0.0139040417, valid_loss: 0.0134898132, best_valid_loss: 0.0134898132, lr: 0.0001000000
2024-02-04 17:21:12.518949: iter: [14/300], train_loss: 0.0130806571, valid_loss: 0.0131410876, best_valid_loss: 0.0131410876, lr: 0.0001000000
2024-02-04 17:21:13.319812: iter: [15/300], train_loss: 0.0124172565, valid_loss: 0.0125271045, best_valid_loss: 0.0125271045, lr: 0.0001000000
2024-02-04 17:21:14.149588: iter: [16/300], train_loss: 0.0118231429, valid_loss: 0.0119723858, best_valid_loss: 0.0119723858, lr: 0.0000800000
2024-02-04 17:21:14.994331: iter: [17/300], train_loss: 0.0112602186, valid_loss: 0.0111323455, best_valid_loss: 0.0111323455, lr: 0.0000800000
2024-02-04 17:21:15.773249: iter: [18/300], train_loss: 0.0106900249, valid_loss: 0.0110288973, best_valid_loss: 0.0110288973, lr: 0.0000800000
2024-02-04 17:21:16.608016: iter: [19/300], train_loss: 0.0101218516, valid_loss: 0.0100776410, best_valid_loss: 0.0100776410, lr: 0.0000800000
2024-02-04 17:21:17.422839: iter: [20/300], train_loss: 0.0095676699, valid_loss: 0.0090533672, best_valid_loss: 0.0090533672, lr: 0.0000800000
2024-02-04 17:21:18.217747: iter: [21/300], train_loss: 0.0090388835, valid_loss: 0.0086160080, best_valid_loss: 0.0086160080, lr: 0.0000800000
2024-02-04 17:21:19.005607: iter: [22/300], train_loss: 0.0085172961, valid_loss: 0.0084771239, best_valid_loss: 0.0084771239, lr: 0.0000800000
2024-02-04 17:21:19.827413: iter: [23/300], train_loss: 0.0080724190, valid_loss: 0.0084453241, best_valid_loss: 0.0084453241, lr: 0.0000800000
2024-02-04 17:21:20.643231: iter: [24/300], train_loss: 0.0076547097, valid_loss: 0.0071830455, best_valid_loss: 0.0071830455, lr: 0.0000800000
2024-02-04 17:21:21.432118: iter: [25/300], train_loss: 0.0072606719, valid_loss: 0.0069108773, best_valid_loss: 0.0069108773, lr: 0.0000800000
2024-02-04 17:21:22.239959: iter: [26/300], train_loss: 0.0069228084, valid_loss: 0.0064387688, best_valid_loss: 0.0064387688, lr: 0.0000800000
2024-02-04 17:21:23.073732: iter: [27/300], train_loss: 0.0066103113, valid_loss: 0.0067997545, best_valid_loss: 0.0064387688, lr: 0.0000800000
2024-02-04 17:21:23.861626: iter: [28/300], train_loss: 0.0063737893, valid_loss: 0.0062440572, best_valid_loss: 0.0062440572, lr: 0.0000800000
2024-02-04 17:21:24.647526: iter: [29/300], train_loss: 0.0061509353, valid_loss: 0.0064806092, best_valid_loss: 0.0062440572, lr: 0.0000800000
2024-02-04 17:21:25.424446: iter: [30/300], train_loss: 0.0059696625, valid_loss: 0.0056905686, best_valid_loss: 0.0056905686, lr: 0.0000800000
